"ot2set","reagent","source_labware","source_slot","source_well","asp_height","dest_labware","dest_slot","dest_well","disp_height","transfer_volume"
"set1_pcr1a.dilutionPlate","pcr1Plate3a","denvillewithaxygenbase_96_wellplate_200ul",2,"A1",0.25,"nest_96_wellplate_100ul_pcr_full_skirt",5,"A1",0.5,2
"set1_pcr1a.dilutionPlate","pcr1Plate3a","denvillewithaxygenbase_96_wellplate_200ul",2,"A2",0.25,"nest_96_wellplate_100ul_pcr_full_skirt",5,"A2",0.5,2
"set1_pcr1a.dilutionPlate","pcr1Plate3a","denvillewithaxygenbase_96_wellplate_200ul",2,"A3",0.25,"nest_96_wellplate_100ul_pcr_full_skirt",5,"A3",0.5,2
"set1_pcr1a.dilutionPlate","pcr1Plate3a","denvillewithaxygenbase_96_wellplate_200ul",2,"A4",0.25,"nest_96_wellplate_100ul_pcr_full_skirt",5,"A4",0.5,2
"set1_pcr1a.dilutionPlate","pcr1Plate3a","denvillewithaxygenbase_96_wellplate_200ul",2,"A5",0.25,"nest_96_wellplate_100ul_pcr_full_skirt",5,"A5",0.5,2
"set1_pcr1a.dilutionPlate","pcr1Plate3a","denvillewithaxygenbase_96_wellplate_200ul",2,"A6",0.25,"nest_96_wellplate_100ul_pcr_full_skirt",5,"A6",0.5,2
"set1_pcr1a.dilutionPlate","pcr1Plate3a","denvillewithaxygenbase_96_wellplate_200ul",2,"A7",0.25,"nest_96_wellplate_100ul_pcr_full_skirt",5,"A7",0.5,2
"set1_pcr1a.dilutionPlate","pcr1Plate3a","denvillewithaxygenbase_96_wellplate_200ul",2,"A8",0.25,"nest_96_wellplate_100ul_pcr_full_skirt",5,"A8",0.5,2
"set1_pcr1a.dilutionPlate","pcr1Plate3a","denvillewithaxygenbase_96_wellplate_200ul",2,"A9",0.25,"nest_96_wellplate_100ul_pcr_full_skirt",5,"A9",0.5,2
"set1_pcr1a.dilutionPlate","pcr1Plate3a","denvillewithaxygenbase_96_wellplate_200ul",2,"A10",0.25,"nest_96_wellplate_100ul_pcr_full_skirt",5,"A10",0.5,2
"set1_pcr1a.dilutionPlate","pcr1Plate3a","denvillewithaxygenbase_96_wellplate_200ul",2,"A11",0.25,"nest_96_wellplate_100ul_pcr_full_skirt",5,"A11",0.5,2
"set1_pcr1a.dilutionPlate","pcr1Plate3a","denvillewithaxygenbase_96_wellplate_200ul",2,"A12",0.25,"nest_96_wellplate_100ul_pcr_full_skirt",5,"A12",0.5,2
"set2_pcr1b.dilutionPlate","pcr1Plate3b","denvillewithaxygenbase_96_wellplate_200ul",3,"A1",0.25,"nest_96_wellplate_100ul_pcr_full_skirt",5,"A1",0.5,2
"set2_pcr1b.dilutionPlate","pcr1Plate3b","denvillewithaxygenbase_96_wellplate_200ul",3,"A2",0.25,"nest_96_wellplate_100ul_pcr_full_skirt",5,"A2",0.5,2
"set2_pcr1b.dilutionPlate","pcr1Plate3b","denvillewithaxygenbase_96_wellplate_200ul",3,"A3",0.25,"nest_96_wellplate_100ul_pcr_full_skirt",5,"A3",0.5,2
"set2_pcr1b.dilutionPlate","pcr1Plate3b","denvillewithaxygenbase_96_wellplate_200ul",3,"A4",0.25,"nest_96_wellplate_100ul_pcr_full_skirt",5,"A4",0.5,2
"set2_pcr1b.dilutionPlate","pcr1Plate3b","denvillewithaxygenbase_96_wellplate_200ul",3,"A5",0.25,"nest_96_wellplate_100ul_pcr_full_skirt",5,"A5",0.5,2
"set2_pcr1b.dilutionPlate","pcr1Plate3b","denvillewithaxygenbase_96_wellplate_200ul",3,"A6",0.25,"nest_96_wellplate_100ul_pcr_full_skirt",5,"A6",0.5,2
"set2_pcr1b.dilutionPlate","pcr1Plate3b","denvillewithaxygenbase_96_wellplate_200ul",3,"A7",0.25,"nest_96_wellplate_100ul_pcr_full_skirt",5,"A7",0.5,2
"set2_pcr1b.dilutionPlate","pcr1Plate3b","denvillewithaxygenbase_96_wellplate_200ul",3,"A8",0.25,"nest_96_wellplate_100ul_pcr_full_skirt",5,"A8",0.5,2
"set2_pcr1b.dilutionPlate","pcr1Plate3b","denvillewithaxygenbase_96_wellplate_200ul",3,"A9",0.25,"nest_96_wellplate_100ul_pcr_full_skirt",5,"A9",0.5,2
"set2_pcr1b.dilutionPlate","pcr1Plate3b","denvillewithaxygenbase_96_wellplate_200ul",3,"A10",0.25,"nest_96_wellplate_100ul_pcr_full_skirt",5,"A10",0.5,2
"set2_pcr1b.dilutionPlate","pcr1Plate3b","denvillewithaxygenbase_96_wellplate_200ul",3,"A11",0.25,"nest_96_wellplate_100ul_pcr_full_skirt",5,"A11",0.5,2
"set2_pcr1b.dilutionPlate","pcr1Plate3b","denvillewithaxygenbase_96_wellplate_200ul",3,"A12",0.25,"nest_96_wellplate_100ul_pcr_full_skirt",5,"A12",0.5,2
"set3_water.dilutionPlate","nf-water","nest_96_wellplate_100ul_pcr_full_skirt",6,"A1",1,"nest_96_wellplate_100ul_pcr_full_skirt",5,"A1",1,36
"set3_water.dilutionPlate","nf-water","nest_96_wellplate_100ul_pcr_full_skirt",6,"A2",1,"nest_96_wellplate_100ul_pcr_full_skirt",5,"A2",1,36
"set3_water.dilutionPlate","nf-water","nest_96_wellplate_100ul_pcr_full_skirt",6,"A3",1,"nest_96_wellplate_100ul_pcr_full_skirt",5,"A3",1,36
"set3_water.dilutionPlate","nf-water","nest_96_wellplate_100ul_pcr_full_skirt",6,"A4",1,"nest_96_wellplate_100ul_pcr_full_skirt",5,"A4",1,36
"set3_water.dilutionPlate","nf-water","nest_96_wellplate_100ul_pcr_full_skirt",6,"A5",1,"nest_96_wellplate_100ul_pcr_full_skirt",5,"A5",1,36
"set3_water.dilutionPlate","nf-water","nest_96_wellplate_100ul_pcr_full_skirt",6,"A6",1,"nest_96_wellplate_100ul_pcr_full_skirt",5,"A6",1,36
"set3_water.dilutionPlate","nf-water","nest_96_wellplate_100ul_pcr_full_skirt",6,"A7",1,"nest_96_wellplate_100ul_pcr_full_skirt",5,"A7",1,36
"set3_water.dilutionPlate","nf-water","nest_96_wellplate_100ul_pcr_full_skirt",6,"A8",1,"nest_96_wellplate_100ul_pcr_full_skirt",5,"A8",1,36
"set3_water.dilutionPlate","nf-water","nest_96_wellplate_100ul_pcr_full_skirt",6,"A9",1,"nest_96_wellplate_100ul_pcr_full_skirt",5,"A9",1,36
"set3_water.dilutionPlate","nf-water","nest_96_wellplate_100ul_pcr_full_skirt",6,"A10",1,"nest_96_wellplate_100ul_pcr_full_skirt",5,"A10",1,36
"set3_water.dilutionPlate","nf-water","nest_96_wellplate_100ul_pcr_full_skirt",6,"A11",1,"nest_96_wellplate_100ul_pcr_full_skirt",5,"A11",1,36
"set3_water.dilutionPlate","nf-water","nest_96_wellplate_100ul_pcr_full_skirt",6,"A12",1,"nest_96_wellplate_100ul_pcr_full_skirt",5,"A12",1,36
"set4_dilutionPlate.pcr2","dilutionPlate","nest_96_wellplate_100ul_pcr_full_skirt",5,"A1",1,"denvillewithaxygenbase_96_wellplate_200ul",8,"A1",1,6
"set4_dilutionPlate.pcr2","dilutionPlate","nest_96_wellplate_100ul_pcr_full_skirt",5,"A2",1,"denvillewithaxygenbase_96_wellplate_200ul",8,"A2",1,6
"set4_dilutionPlate.pcr2","dilutionPlate","nest_96_wellplate_100ul_pcr_full_skirt",5,"A3",1,"denvillewithaxygenbase_96_wellplate_200ul",8,"A3",1,6
"set4_dilutionPlate.pcr2","dilutionPlate","nest_96_wellplate_100ul_pcr_full_skirt",5,"A4",1,"denvillewithaxygenbase_96_wellplate_200ul",8,"A4",1,6
"set4_dilutionPlate.pcr2","dilutionPlate","nest_96_wellplate_100ul_pcr_full_skirt",5,"A5",1,"denvillewithaxygenbase_96_wellplate_200ul",8,"A5",1,6
"set4_dilutionPlate.pcr2","dilutionPlate","nest_96_wellplate_100ul_pcr_full_skirt",5,"A6",1,"denvillewithaxygenbase_96_wellplate_200ul",8,"A6",1,6
"set4_dilutionPlate.pcr2","dilutionPlate","nest_96_wellplate_100ul_pcr_full_skirt",5,"A7",1,"denvillewithaxygenbase_96_wellplate_200ul",8,"A7",1,6
"set4_dilutionPlate.pcr2","dilutionPlate","nest_96_wellplate_100ul_pcr_full_skirt",5,"A8",1,"denvillewithaxygenbase_96_wellplate_200ul",8,"A8",1,6
"set4_dilutionPlate.pcr2","dilutionPlate","nest_96_wellplate_100ul_pcr_full_skirt",5,"A9",1,"denvillewithaxygenbase_96_wellplate_200ul",8,"A9",1,6
"set4_dilutionPlate.pcr2","dilutionPlate","nest_96_wellplate_100ul_pcr_full_skirt",5,"A10",1,"denvillewithaxygenbase_96_wellplate_200ul",8,"A10",1,6
"set4_dilutionPlate.pcr2","dilutionPlate","nest_96_wellplate_100ul_pcr_full_skirt",5,"A11",1,"denvillewithaxygenbase_96_wellplate_200ul",8,"A11",1,6
"set4_dilutionPlate.pcr2","dilutionPlate","nest_96_wellplate_100ul_pcr_full_skirt",5,"A12",1,"denvillewithaxygenbase_96_wellplate_200ul",8,"A12",1,6
"set5_indexes.pcr2","indexPlate_setC","nest_96_wellplate_100ul_pcr_full_skirt",11,"A1",3,"denvillewithaxygenbase_96_wellplate_200ul",8,"A1",1,4
"set5_indexes.pcr2","indexPlate_setC","nest_96_wellplate_100ul_pcr_full_skirt",11,"A2",3,"denvillewithaxygenbase_96_wellplate_200ul",8,"A2",1,4
"set5_indexes.pcr2","indexPlate_setC","nest_96_wellplate_100ul_pcr_full_skirt",11,"A3",3,"denvillewithaxygenbase_96_wellplate_200ul",8,"A3",1,4
"set5_indexes.pcr2","indexPlate_setC","nest_96_wellplate_100ul_pcr_full_skirt",11,"A4",3,"denvillewithaxygenbase_96_wellplate_200ul",8,"A4",1,4
"set5_indexes.pcr2","indexPlate_setC","nest_96_wellplate_100ul_pcr_full_skirt",11,"A5",3,"denvillewithaxygenbase_96_wellplate_200ul",8,"A5",1,4
"set5_indexes.pcr2","indexPlate_setC","nest_96_wellplate_100ul_pcr_full_skirt",11,"A6",3,"denvillewithaxygenbase_96_wellplate_200ul",8,"A6",1,4
"set5_indexes.pcr2","indexPlate_setC","nest_96_wellplate_100ul_pcr_full_skirt",11,"A7",3,"denvillewithaxygenbase_96_wellplate_200ul",8,"A7",1,4
"set5_indexes.pcr2","indexPlate_setC","nest_96_wellplate_100ul_pcr_full_skirt",11,"A8",3,"denvillewithaxygenbase_96_wellplate_200ul",8,"A8",1,4
"set5_indexes.pcr2","indexPlate_setC","nest_96_wellplate_100ul_pcr_full_skirt",11,"A9",3,"denvillewithaxygenbase_96_wellplate_200ul",8,"A9",1,4
"set5_indexes.pcr2","indexPlate_setC","nest_96_wellplate_100ul_pcr_full_skirt",11,"A10",3,"denvillewithaxygenbase_96_wellplate_200ul",8,"A10",1,4
"set5_indexes.pcr2","indexPlate_setC","nest_96_wellplate_100ul_pcr_full_skirt",11,"A11",3,"denvillewithaxygenbase_96_wellplate_200ul",8,"A11",1,4
"set5_indexes.pcr2","indexPlate_setC","nest_96_wellplate_100ul_pcr_full_skirt",11,"A12",3,"denvillewithaxygenbase_96_wellplate_200ul",8,"A12",1,4
"set6_kapa.pcr2","kapa","nest_12_reservoir_15ml",7,"A1",1,"denvillewithaxygenbase_96_wellplate_200ul",8,"A1",1,10
"set6_kapa.pcr2","kapa","nest_12_reservoir_15ml",7,"A1",1,"denvillewithaxygenbase_96_wellplate_200ul",8,"A2",1,10
"set6_kapa.pcr2","kapa","nest_12_reservoir_15ml",7,"A1",1,"denvillewithaxygenbase_96_wellplate_200ul",8,"A3",1,10
"set6_kapa.pcr2","kapa","nest_12_reservoir_15ml",7,"A1",1,"denvillewithaxygenbase_96_wellplate_200ul",8,"A4",1,10
"set6_kapa.pcr2","kapa","nest_12_reservoir_15ml",7,"A1",1,"denvillewithaxygenbase_96_wellplate_200ul",8,"A5",1,10
"set6_kapa.pcr2","kapa","nest_12_reservoir_15ml",7,"A1",1,"denvillewithaxygenbase_96_wellplate_200ul",8,"A6",1,10
"set6_kapa.pcr2","kapa","nest_12_reservoir_15ml",7,"A1",1,"denvillewithaxygenbase_96_wellplate_200ul",8,"A7",1,10
"set6_kapa.pcr2","kapa","nest_12_reservoir_15ml",7,"A1",1,"denvillewithaxygenbase_96_wellplate_200ul",8,"A8",1,10
"set6_kapa.pcr2","kapa","nest_12_reservoir_15ml",7,"A1",1,"denvillewithaxygenbase_96_wellplate_200ul",8,"A9",1,10
"set6_kapa.pcr2","kapa","nest_12_reservoir_15ml",7,"A1",1,"denvillewithaxygenbase_96_wellplate_200ul",8,"A10",1,10
"set6_kapa.pcr2","kapa","nest_12_reservoir_15ml",7,"A1",1,"denvillewithaxygenbase_96_wellplate_200ul",8,"A11",1,10
"set6_kapa.pcr2","kapa","nest_12_reservoir_15ml",7,"A1",1,"denvillewithaxygenbase_96_wellplate_200ul",8,"A12",1,10
